dataset,filename,valid_shape,all_finite,within_0_1,min,max,mean,std
ddpm_v5,ddpm_v5_0003.nii.gz,True,True,True,0.0,1.0,0.09563727676868439,0.16819556057453156
ddpm_v5,ddpm_v5_0004.nii.gz,True,True,True,0.0,1.0,0.09637380391359329,0.16385914385318756
ddpm_v5,ddpm_v5_0005.nii.gz,True,True,True,0.0,1.0,0.1034812331199646,0.17658275365829468
ddpm_v5,ddpm_v5_0006.nii.gz,True,True,True,0.0,1.0,0.09808725863695145,0.16798894107341766
ddpm_v5,ddpm_v5_0007.nii.gz,True,True,True,0.0,1.0,0.10019338130950928,0.17332223057746887
ddpm_v5,ddpm_v5_0008.nii.gz,True,True,True,0.0,1.0,0.10463207960128784,0.18270832300186157
ddpm_v5,ddpm_v5_0009.nii.gz,True,True,True,0.0,1.0,0.10098807513713837,0.1723577231168747
ddpm_v5,ddpm_v5_0010.nii.gz,True,True,True,0.0,1.0,0.10234533995389938,0.17490254342556
ddpm_v5,ddpm_v5_0011.nii.gz,True,True,True,0.0,1.0,0.10388249158859253,0.17251579463481903
ddpm_v5,ddpm_v5_0012.nii.gz,True,True,True,0.0,1.0,0.10274039208889008,0.17317555844783783
ddpm_v5,ddpm_v5_0013.nii.gz,True,True,True,0.0,1.0,0.10356102883815765,0.17828518152236938
ddpm_v5,ddpm_v5_0014.nii.gz,True,True,True,0.0,1.0,0.10241184383630753,0.17647066712379456
ddpm_v5,ddpm_v5_0015.nii.gz,True,True,True,0.0,1.0,0.10279110074043274,0.175957590341568
ddpm_v5,ddpm_v5_0016.nii.gz,True,True,True,0.0,1.0,0.10186377167701721,0.16539017856121063
ddpm_v5,ddpm_v5_0017.nii.gz,True,True,True,0.0,1.0,0.10024590790271759,0.16716590523719788
ddpm_v5,ddpm_v5_0018.nii.gz,True,True,True,0.0,1.0,0.10359720140695572,0.17884431779384613
ddpm_v5,ddpm_v5_0019.nii.gz,True,True,True,0.0,1.0,0.10438136756420135,0.1805494874715805
ddpm_v5,ddpm_v5_0020.nii.gz,True,True,True,0.0,1.0,0.10232046991586685,0.17546337842941284
ddpm_v5,ddpm_v5_0021.nii.gz,True,True,True,0.0,1.0,0.09938840568065643,0.1711704581975937
ddpm_v5,ddpm_v5_0022.nii.gz,True,True,True,0.0,1.0,0.10442281514406204,0.18401694297790527
ddpm_v5,ddpm_v5_0023.nii.gz,True,True,True,0.0,1.0,0.1010081022977829,0.17515058815479279
ddpm_v5,ddpm_v5_0024.nii.gz,True,True,True,0.0,1.0,0.09967073053121567,0.16914154589176178
ddpm_v5,ddpm_v5_0025.nii.gz,True,True,True,0.0,1.0,0.09916851669549942,0.1675509661436081
ddpm_v5,ddpm_v5_0026.nii.gz,True,True,True,0.0,1.0,0.10270660370588303,0.17447547614574432
ddpm_v5,ddpm_v5_0027.nii.gz,True,True,True,0.0,1.0,0.09783580154180527,0.16557316482067108
ddpm_v5,ddpm_v5_0028.nii.gz,True,True,True,0.0,1.0,0.11095047742128372,0.18808108568191528
ddpm_v5,ddpm_v5_0029.nii.gz,True,True,True,0.0,1.0,0.1087508499622345,0.1824415773153305
ddpm_v5,ddpm_v5_0030.nii.gz,True,True,True,0.0,1.0,0.10093753784894943,0.17491735517978668
ddpm_v5,ddpm_v5_0031.nii.gz,True,True,True,0.0,1.0,0.10448721051216125,0.17864948511123657
ddpm_v5,ddpm_v5_0032.nii.gz,True,True,True,0.0,1.0,0.1004582867026329,0.1725587695837021
ddpm_v5,ddpm_v5_0033.nii.gz,True,True,True,0.0,1.0,0.10574562102556229,0.1807347685098648
ddpm_v5,ddpm_v5_0034.nii.gz,True,True,True,0.0,1.0,0.09700525552034378,0.16687089204788208
ddpm_v5,ddpm_v5_0035.nii.gz,True,True,True,0.0,1.0,0.1026431992650032,0.1751009076833725
ddpm_v5,ddpm_v5_0036.nii.gz,True,True,True,0.0,1.0,0.10679296404123306,0.18470045924186707
ddpm_v5,ddpm_v5_0037.nii.gz,True,True,True,0.0,1.0,0.0999458059668541,0.16640053689479828
ddpm_v5,ddpm_v5_0038.nii.gz,True,True,True,0.0,1.0,0.09825972467660904,0.17243652045726776
ddpm_v5,ddpm_v5_0039.nii.gz,True,True,True,0.0,1.0,0.10863949358463287,0.18622852861881256
ddpm_v5,ddpm_v5_0040.nii.gz,True,True,True,0.0,1.0,0.09736227989196777,0.1657494753599167
ddpm_v5,ddpm_v5_0041.nii.gz,True,True,True,0.0,0.9939432144165039,0.10617814213037491,0.17458723485469818
ddpm_v5,ddpm_v5_0042.nii.gz,True,True,True,0.0,1.0,0.10491187125444412,0.17863616347312927
ddpm_v5,ddpm_v5_0043.nii.gz,True,True,True,0.0,1.0,0.09792062640190125,0.1703900694847107
ddpm_v5,ddpm_v5_0044.nii.gz,True,True,True,0.0,1.0,0.0879126712679863,0.1545674204826355
ddpm_v5,ddpm_v5_0045.nii.gz,True,True,True,0.0,1.0,0.10546928644180298,0.1782510131597519
ddpm_v5,ddpm_v5_0046.nii.gz,True,True,True,0.0,1.0,0.10502385348081589,0.17749004065990448
ddpm_v5,ddpm_v5_0047.nii.gz,True,True,True,0.0,1.0,0.09347866475582123,0.16787737607955933
ddpm_v5,ddpm_v5_0048.nii.gz,True,True,True,0.0,1.0,0.10074186325073242,0.17529815435409546
ddpm_v5,ddpm_v5_0049.nii.gz,True,True,True,0.0,1.0,0.1034536361694336,0.17469969391822815
ddpm_v5,ddpm_v5_0050.nii.gz,True,True,True,0.0,1.0,0.10340339690446854,0.17442673444747925
ddpm_v5,ddpm_v5_0051.nii.gz,True,True,True,0.0,1.0,0.09982489049434662,0.1701606959104538
ddpm_v5,ddpm_v5_0052.nii.gz,True,True,True,0.0,1.0,0.09503161907196045,0.16552144289016724
ddpm_v5,ddpm_v5_0053.nii.gz,True,True,True,0.0,1.0,0.09930002689361572,0.17381975054740906
ddpm_v5,ddpm_v5_0054.nii.gz,True,True,True,0.0,1.0,0.10346287488937378,0.17236274480819702
ddpm_v5,ddpm_v5_0055.nii.gz,True,True,True,0.0,1.0,0.10006292909383774,0.1706392616033554
ddpm_v5,ddpm_v5_0056.nii.gz,True,True,True,0.0,1.0,0.09702225774526596,0.16723786294460297
ddpm_v5,ddpm_v5_0057.nii.gz,True,True,True,0.0,1.0,0.10115326941013336,0.17312632501125336
ddpm_v5,ddpm_v5_0058.nii.gz,True,True,True,0.0,1.0,0.09313350915908813,0.16291706264019012
ddpm_v5,ddpm_v5_0059.nii.gz,True,True,True,0.0,1.0,0.10274478048086166,0.17947396636009216
ddpm_v5,ddpm_v5_0060.nii.gz,True,True,True,0.0,1.0,0.101536825299263,0.17046654224395752
ddpm_v5,ddpm_v5_0061.nii.gz,True,True,True,0.0,1.0,0.10460510849952698,0.1799597144126892
ddpm_v5,ddpm_v5_0062.nii.gz,True,True,True,0.0,1.0,0.1042652577161789,0.17895551025867462
ddpm_v5,ddpm_v5_0063.nii.gz,True,True,True,0.0,1.0,0.10391131043434143,0.1793767511844635
ddpm_v5,ddpm_v5_0064.nii.gz,True,True,True,0.0,1.0,0.10356467217206955,0.17867054045200348
ddpm_v5,ddpm_v5_0065.nii.gz,True,True,True,0.0,1.0,0.09856829047203064,0.16760461032390594
ddpm_v5,ddpm_v5_0066.nii.gz,True,True,True,0.0,1.0,0.09882432222366333,0.16962449252605438
ddpm_v5,ddpm_v5_0067.nii.gz,True,True,True,0.0,1.0,0.10363297164440155,0.17610090970993042
ddpm_v5,ddpm_v5_0068.nii.gz,True,True,True,0.0,1.0,0.10438805818557739,0.1774013638496399
ddpm_v5,ddpm_v5_0069.nii.gz,True,True,True,0.0,0.9995453357696533,0.10238374024629593,0.1692410260438919
ddpm_v5,ddpm_v5_0070.nii.gz,True,True,True,0.0,1.0,0.10280800610780716,0.1742369830608368
ddpm_v5,ddpm_v5_0071.nii.gz,True,True,True,0.0,1.0,0.10306978225708008,0.1769079566001892
ddpm_v5,ddpm_v5_0072.nii.gz,True,True,True,0.0,1.0,0.10431091487407684,0.17262506484985352
ddpm_v5,ddpm_v5_0073.nii.gz,True,True,True,0.0,1.0,0.09875642508268356,0.17360903322696686
ddpm_v5,ddpm_v5_0074.nii.gz,True,True,True,0.0,1.0,0.0963965430855751,0.16289052367210388
ddpm_v5,ddpm_v5_0075.nii.gz,True,True,True,0.0,1.0,0.09706120938062668,0.16811922192573547
ddpm_v5,ddpm_v5_0076.nii.gz,True,True,True,0.0,1.0,0.10263141244649887,0.1712740659713745
ddpm_v5,ddpm_v5_0077.nii.gz,True,True,True,0.0,1.0,0.10428471863269806,0.17949873208999634
ddpm_v5,ddpm_v5_0078.nii.gz,True,True,True,0.0,1.0,0.09994916617870331,0.17010200023651123
ddpm_v5,ddpm_v5_0079.nii.gz,True,True,True,0.0,1.0,0.10102728754281998,0.17295731604099274
ddpm_v5,ddpm_v5_0080.nii.gz,True,True,True,0.0,1.0,0.10575440526008606,0.18140621483325958
ddpm_v5,ddpm_v5_0081.nii.gz,True,True,True,0.0,1.0,0.10010858625173569,0.1723124235868454
ddpm_v5,ddpm_v5_0082.nii.gz,True,True,True,0.0,1.0,0.10634086281061172,0.18721505999565125
ddpm_v5,ddpm_v5_0083.nii.gz,True,True,True,0.0,0.9952147603034973,0.10126111656427383,0.1693115085363388
